graph_family,graph_seed,method_seed,sigma,method,n,m,mean_degree,budget_mode,budget_value,cut_raw,cut_rounded,cut_polished,runtime_sec,projection_calls,ode_nfev,adaptive_updates,rhs_rms,rhs_max,active_edges,mean_active_degree,row_sum_max,budget_violation_max,symmetry_error,energy_violations_raw
sparse_er_200_p05,0,1,0.0,hybrid_support_random_weights,200,1068,10.68,half_mean_deg,5.34,650.0,650.0,706.0,0.3753108978271484,1,890,0,,,643,6.43,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,0.25,static,200,1068,10.68,half_mean_deg,5.34,736.0,759.0,764.0,1.3408198356628418,0,2654,0,,,1068,10.68,21.0,15.66,0.0,0
sparse_er_200_p05,0,1,0.25,static_budgeted,200,1068,10.68,half_mean_deg,5.34,706.0,717.0,743.0,0.8607447147369385,1,1454,0,,,759,7.59,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,0.25,random_budgeted,200,1068,10.68,half_mean_deg,5.34,720.0,723.0,747.0,0.7254617214202881,1,1310,0,,,1049,10.49,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,0.25,hybrid_frobenius,200,1068,10.68,half_mean_deg,5.34,659.0,659.0,719.0,89.39159893989563,101,5146,100,5.05914511859408e-08,3.600344023289025e-07,627,6.27,5.34000000000037,3.703704010149522e-13,0.0,0
sparse_er_200_p05,0,1,0.25,hybrid_support_random_weights,200,1068,10.68,half_mean_deg,5.34,659.0,659.0,719.0,0.6349143981933594,1,1358,0,,,627,6.27,5.34,0.0,0.0,0
sparse_er_200_p05,0,1,0.5,static,200,1068,10.68,half_mean_deg,5.34,719.0,757.0,767.0,2.536879062652588,0,4814,0,,,1068,10.68,21.0,15.66,0.0,0
sparse_er_200_p05,0,1,0.5,static_budgeted,200,1068,10.68,half_mean_deg,5.34,713.0,727.0,749.0,1.243119478225708,1,2246,0,,,759,7.59,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,0.5,random_budgeted,200,1068,10.68,half_mean_deg,5.34,716.0,725.0,742.0,1.2727153301239014,1,2450,0,,,1049,10.49,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,0.5,hybrid_frobenius,200,1068,10.68,half_mean_deg,5.34,635.0,635.0,721.0,56.01204586029053,101,6802,100,3.874077407056887e-05,0.0004031035501416,615,6.15,5.3400000000008205,8.206768598029157e-13,0.0,0
sparse_er_200_p05,0,1,0.5,hybrid_support_random_weights,200,1068,10.68,half_mean_deg,5.34,635.0,635.0,721.0,0.9684429168701172,1,2486,0,,,615,6.15,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,1.0,static,200,1068,10.68,half_mean_deg,5.34,685.0,685.0,738.0,11.277482748031616,0,22142,0,,,1068,10.68,21.0,15.66,0.0,0
sparse_er_200_p05,0,1,1.0,static_budgeted,200,1068,10.68,half_mean_deg,5.34,679.0,690.0,747.0,4.1777215003967285,1,7766,0,,,759,7.59,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,1.0,random_budgeted,200,1068,10.68,half_mean_deg,5.34,684.0,702.0,726.0,5.022841930389404,1,9902,0,,,1049,10.49,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,1,1.0,hybrid_frobenius,200,1068,10.68,half_mean_deg,5.34,615.0,615.0,727.0,96.38897562026978,101,19906,100,0.0001446335625207,0.0014308429219276,565,5.65,5.340000000000002,1.7763568394002505e-15,0.0,0
sparse_er_200_p05,0,1,1.0,hybrid_support_random_weights,200,1068,10.68,half_mean_deg,5.34,615.0,615.0,727.0,2.917492628097534,1,7490,0,,,565,5.65,5.340000000000001,8.881784197001252e-16,0.0,0
