sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.0,oracle_compensation,0,9,741.0,744.0,760.0,1.0,-1.0,1.007084846496582,1.0235690235690236
0.25,static_budgeted,0,0,703.0,725.0,746.0,0.0,0.0,0.8238728046417236,1.0047138047138047
0.25,random_budgeted,0,0,713.0,739.0,752.0,0.0,0.0,0.6147222518920898,1.0127946127946128
0.25,hebbian_frobenius,0,0,682.0,684.0,737.0,0.14279686530224392,-0.13894677190103333,94.99113345146179,0.9925925925925926
0.25,hybrid_frobenius,0,0,682.0,684.0,737.0,0.14279686530224392,-0.13894677190103333,94.40327000617981,0.9925925925925926
0.25,oracle_compensation,0,0,729.0,742.0,748.0,1.0,-1.0,0.9833376407623291,1.0074074074074073
0.25,static_budgeted,0,1,706.0,717.0,743.0,0.0,0.0,0.7975642681121826,1.0006734006734006
0.25,random_budgeted,0,1,720.0,726.0,746.0,0.0,0.0,2.4641599655151367,1.0047138047138047
0.25,hebbian_frobenius,0,1,659.0,659.0,719.0,0.09788469569436767,-0.12509981277612467,86.32172799110413,0.9683501683501684
0.25,hybrid_frobenius,0,1,659.0,659.0,719.0,0.09788469569436767,-0.12509981277612467,89.45851421356201,0.9683501683501684
0.25,oracle_compensation,0,1,732.0,751.0,758.0,1.0,-1.0,1.0935537815093994,1.020875420875421
0.25,static_budgeted,0,2,710.0,715.0,732.0,0.0,0.0,0.7835443019866943,0.9858585858585859
0.25,random_budgeted,0,2,727.0,736.0,753.0,0.0,0.0,0.5553796291351318,1.0141414141414142
0.25,hebbian_frobenius,0,2,657.0,657.0,745.0,0.007993086955717517,-0.007546038431928428,40.07962775230408,1.0033670033670035
0.25,hybrid_frobenius,0,2,657.0,657.0,745.0,0.007993086955717517,-0.007546038431928428,42.42413020133972,1.0033670033670035
0.25,oracle_compensation,0,2,742.0,755.0,765.0,1.0,-1.0,0.9559686183929443,1.0303030303030303
0.25,static_budgeted,0,3,709.0,710.0,739.0,0.0,0.0,0.9945917129516602,0.9952861952861953
0.25,random_budgeted,0,3,720.0,740.0,750.0,0.0,0.0,0.6575775146484375,1.0101010101010102
0.25,hebbian_frobenius,0,3,646.0,650.0,721.0,0.10015079022569758,-0.08633296224635402,95.72754454612732,0.971043771043771
0.25,hybrid_frobenius,0,3,646.0,646.0,719.0,0.10015079022569758,-0.08633296224635402,95.11348509788513,0.9683501683501684
0.25,oracle_compensation,0,3,733.0,744.0,753.0,1.0,-1.0,1.1047520637512207,1.0141414141414142
0.25,static_budgeted,0,4,705.0,732.0,751.0,0.0,0.0,0.8499655723571777,1.0114478114478114
0.25,random_budgeted,0,4,727.0,748.0,757.0,0.0,0.0,0.7836153507232666,1.0195286195286195
0.25,hebbian_frobenius,0,4,657.0,657.0,710.0,0.08746602519566857,-0.09611443048119837,67.90341210365295,0.9562289562289562
0.25,hybrid_frobenius,0,4,657.0,657.0,710.0,0.08746602519566857,-0.09611443048119837,68.04163193702698,0.9562289562289562
0.25,oracle_compensation,0,4,745.0,750.0,761.0,1.0,-1.0,0.9437808990478516,1.024915824915825
0.25,static_budgeted,0,5,708.0,710.0,746.0,0.0,0.0,0.7436110973358154,1.0047138047138047
0.25,random_budgeted,0,5,718.0,733.0,743.0,0.0,0.0,0.6112260818481445,1.0006734006734006
0.25,hebbian_frobenius,0,5,658.0,658.0,749.0,0.23672815007281586,-0.2177114225918237,31.675753355026245,1.0087542087542087
0.25,hybrid_frobenius,0,5,658.0,658.0,749.0,0.23672815007281586,-0.2177114225918237,32.445011377334595,1.0087542087542087
0.25,oracle_compensation,0,5,728.0,760.0,762.0,1.0,-1.0,0.9957456588745117,1.0262626262626262
0.25,static_budgeted,0,6,701.0,716.0,755.0,0.0,0.0,0.7557351589202881,1.0168350168350169
0.25,random_budgeted,0,6,728.0,743.0,759.0,0.0,0.0,0.6389837265014648,1.0222222222222221
0.25,hebbian_frobenius,0,6,679.0,679.0,762.0,0.12912237272764487,-0.09186343990184613,29.923123836517334,1.0262626262626262
0.25,hybrid_frobenius,0,6,679.0,679.0,762.0,0.12912237272764487,-0.09186343990184613,29.94722843170166,1.0262626262626262
0.25,oracle_compensation,0,6,719.0,753.0,760.0,1.0,-1.0,1.0336065292358398,1.0235690235690236
0.25,static_budgeted,0,7,705.0,730.0,747.0,0.0,0.0,0.7657260894775391,1.006060606060606
0.25,random_budgeted,0,7,729.0,736.0,747.0,0.0,0.0,0.8203823566436768,1.006060606060606
0.25,hebbian_frobenius,0,7,645.0,645.0,705.0,0.11809349325556921,-0.13533304092160828,35.09751033782959,0.9494949494949495
0.25,hybrid_frobenius,0,7,645.0,645.0,705.0,0.11809349325556921,-0.13533304092160828,38.5462167263031,0.9494949494949495
0.25,oracle_compensation,0,7,738.0,738.0,747.0,1.0,-1.0,1.287022590637207,1.006060606060606
0.25,static_budgeted,0,8,732.0,738.0,756.0,0.0,0.0,0.7435708045959473,1.018181818181818
0.25,random_budgeted,0,8,726.0,738.0,752.0,0.0,0.0,0.6496412754058838,1.0127946127946128
0.25,hebbian_frobenius,0,8,662.0,662.0,725.0,0.019370305267768714,-0.019421391004010358,41.3053834438324,0.9764309764309764
0.25,hybrid_frobenius,0,8,662.0,662.0,725.0,0.019370305267768714,-0.019421391004010358,41.26812267303467,0.9764309764309764
0.25,oracle_compensation,0,8,744.0,751.0,758.0,1.0,-1.0,1.0333094596862793,1.020875420875421
